ID,ID.CapDate,X,Y,Capture.date,Grid,year,Sex,Age,treated.Y.N,EhungInt,EhungINF,EappInt,EappINF,H.poly.EPG,HpolINF
67288302,67288302-2012-06-19,80,30,19/06/2012,HA1,2012,M,NotAdult,1,0,0,0,0,0,0
49847790,49847790-2012-06-20,10,100,20/06/2012,HA1,2012,F,Adult,0,0,0,0,0,21.21212121,1
67010314,67010314-2012-06-21,10,70,21/06/2012,HA1,2012,M,Adult,0,0,0,0,0,12.5,1
67279792,67279792-2012-06-21,60,20,21/06/2012,HA1,2012,M,Adult,1,771.4285714,1,20914.28571,1,0,0
66811012,66811012-2012-06-21,90,70,21/06/2012,HA1,2012,F,Adult,0,0,0,0,0,0,0
67297817,67297817-2012-06-21,80,100,21/06/2012,HA1,2012,F,NotAdult,1,0,0,0,0,0,0
66855330,66855330-2012-07-03,0,0,03/07/2012,HA1,2012,M,Adult,1,0,0,0,0,0,0
67082058,67082058-2012-07-03,10,50,03/07/2012,HA1,2012,F,NotAdult,0,0,0,NA,NA,NA,NA
67279086,67279086-2012-07-03,10,20,03/07/2012,HA1,2012,M,Adult,1,0,0,0,0,0,0
66889018,66889018-2012-07-03,10,10,03/07/2012,HA1,2012,F,Adult,1,0,0,0,0,0,0
49811771,49811771-2012-07-03,20,20,03/07/2012,HA1,2012,F,Adult,0,0,0,0,0,0,0
66890033,66890033-2012-07-03,20,60,03/07/2012,HA1,2012,F,Adult,1,0,0,0,0,0,0
67070550,67070550-2012-07-03,20,70,03/07/2012,HA1,2012,F,NotAdult,1,0,0,0,0,0,0
49847790,49847790-2012-07-03,20,70,03/07/2012,HA1,2012,F,Adult,0,0,0,0,0,16,1
67279792,67279792-2012-07-03,40,20,03/07/2012,HA1,2012,M,Adult,1,0,0,0,0,0,0
67125021,67125021-2012-07-03,60,30,03/07/2012,HA1,2012,M,Adult,0,0,0,0,0,0,0
52842550,52842550-2012-07-03,60,60,03/07/2012,HA1,2012,F,Adult,0,0,0,0,0,0,0
66878865,66878865-2012-07-03,70,0,03/07/2012,HA1,2012,M,Adult,0,0,0,0,0,0,0
67076015,67076015-2012-07-04,20,100,04/07/2012,HA1,2012,M,Adult,1,36,1,0,0,8,1
66859820,66859820-2012-07-04,0,100,04/07/2012,HA1,2012,M,Adult,0,4.444444444,1,0,0,13.33333333,1
67095515,67095515-2012-07-04,30,60,04/07/2012,HA1,2012,M,NotAdult,1,0,0,0,0,0,0
66810776,66810776-2012-07-04,70,30,04/07/2012,HA1,2012,M,Adult,0,0,0,0,0,0,0
67288302,67288302-2012-07-04,70,70,04/07/2012,HA1,2012,M,Adult,1,0,0,0,0,0,0
66815612,66815612-2012-07-04,100,80,04/07/2012,HA1,2012,F,Adult,0,0,0,NA,NA,NA,NA
