"","ID","ID.CapDate","X","Y","Capture.date","Grid","year","Sex","Age","EhungInt","HpolINF","PropOnGrid_10","NoNemInf_10","NoNemUninf_10","NemPrev_10","NoNemTotal_10","NoEimInf_10","NoEimUninf_10","EimPrev_10","NoEimTotal_10","PropOnGrid_14.1","NoNemInf_14.1","NoNemUninf_14.1","NemPrev_14.1","NoNemTotal_14.1","NoEimInf_14.1","NoEimUninf_14.1","EimPrev_14.1","NoEimTotal_14.1","PropOnGrid_20","NoNemInf_20","NoNemUninf_20","NemPrev_20","NoNemTotal_20","NoEimInf_20","NoEimUninf_20","EimPrev_20","NoEimTotal_20","PropOnGrid_22.4","NoNemInf_22.4","NoNemUninf_22.4","NemPrev_22.4","NoNemTotal_22.4","NoEimInf_22.4","NoEimUninf_22.4","EimPrev_22.4","NoEimTotal_22.4","PropOnGrid_28.3","NoNemInf_28.3","NoNemUninf_28.3","NemPrev_28.3","NoNemTotal_28.3","NoEimInf_28.3","NoEimUninf_28.3","EimPrev_28.3","NoEimTotal_28.3","PropOnGrid_30","NoNemInf_30","NoNemUninf_30","NemPrev_30","NoNemTotal_30","NoEimInf_30","NoEimUninf_30","EimPrev_30","NoEimTotal_30","PropOnGrid_31.6","NoNemInf_31.6","NoNemUninf_31.6","NemPrev_31.6","NoNemTotal_31.6","NoEimInf_31.6","NoEimUninf_31.6","EimPrev_31.6","NoEimTotal_31.6","PropOnGrid_36.1","NoNemInf_36.1","NoNemUninf_36.1","NemPrev_36.1","NoNemTotal_36.1","NoEimInf_36.1","NoEimUninf_36.1","EimPrev_36.1","NoEimTotal_36.1","PropOnGrid_40","NoNemInf_40","NoNemUninf_40","NemPrev_40","NoNemTotal_40","NoEimInf_40","NoEimUninf_40","EimPrev_40","NoEimTotal_40","PropOnGrid_50","NoNemInf_50","NoNemUninf_50","NemPrev_50","NoNemTotal_50","NoEimInf_50","NoEimUninf_50","EimPrev_50","NoEimTotal_50"
"178",79795857,"79795857-2012-09-13",30,100,"2012-09-13","HA1",2012,"M","Adult",73.6842105263158,0,0,3,12,0.2,15,3,12,0.2,15,0,3,13,0.1875,16,3,13,0.1875,16,0,6,16,0.272727272727273,22,3,19,0.136363636363636,22,0,8,22,0.266666666666667,30,5,25,0.166666666666667,30,0,11,28,0.282051282051282,39,10,29,0.256410256410256,39,0,14,38,0.269230769230769,52,12,40,0.230769230769231,52,0,17,45,0.274193548387097,62,14,48,0.225806451612903,62,0,20,53,0.273972602739726,73,17,56,0.232876712328767,73,0,21,57,0.269230769230769,78,17,61,0.217948717948718,78,0,33,79,0.294642857142857,112,24,88,0.214285714285714,112
"185",79630010,"79630010-2012-09-25",10,90,"2012-09-25","HA1",2012,"F","Adult",15.7894736842105,0,0,4,14,0.222222222222222,18,6,12,0.333333333333333,18,0,6,25,0.193548387096774,31,8,23,0.258064516129032,31,0,9,32,0.219512195121951,41,11,30,0.268292682926829,41,0,11,43,0.203703703703704,54,16,38,0.296296296296296,54,0,13,43,0.232142857142857,56,16,40,0.285714285714286,56,0,15,46,0.245901639344262,61,18,43,0.295081967213115,61,0,18,54,0.25,72,20,52,0.277777777777778,72,0,18,55,0.246575342465753,73,20,53,0.273972602739726,73,0,18,59,0.233766233766234,77,21,56,0.272727272727273,77,0,32,76,0.296296296296296,108,26,82,0.240740740740741,108
"194",66818332,"66818332-2012-09-11",10,80,"2012-09-11","HA1",2012,"F","Adult",673.469387755102,0,0,6,12,0.333333333333333,18,5,13,0.277777777777778,18,0,7,18,0.28,25,7,18,0.28,25,0,10,22,0.3125,32,9,23,0.28125,32,0,16,30,0.347826086956522,46,12,34,0.260869565217391,46,0,17,34,0.333333333333333,51,12,39,0.235294117647059,51,0,17,36,0.320754716981132,53,12,41,0.226415094339623,53,0,19,39,0.327586206896552,58,12,46,0.206896551724138,58,0,24,42,0.363636363636364,66,12,54,0.181818181818182,66,0,26,46,0.361111111111111,72,15,57,0.208333333333333,72,0,30,65,0.315789473684211,95,17,78,0.178947368421053,95
"198",79770603,"79770603-2012-09-11",40,100,"2012-09-11","HA1",2012,"M","Adult",5328.81355932204,0,0,4,7,0.363636363636364,11,0,11,0,11,0,4,10,0.285714285714286,14,1,13,0.0714285714285714,14,0,5,15,0.25,20,3,17,0.15,20,0,8,16,0.333333333333333,24,4,20,0.166666666666667,24,0,8,18,0.307692307692308,26,4,22,0.153846153846154,26,0,10,23,0.303030303030303,33,4,29,0.121212121212121,33,0,15,29,0.340909090909091,44,5,39,0.113636363636364,44,0,17,34,0.333333333333333,51,8,43,0.156862745098039,51,0,21,38,0.355932203389831,59,10,49,0.169491525423729,59,0,31,70,0.306930693069307,101,18,83,0.178217821782178,101
"205",67089554,"67089554-2012-09-25",40,90,"2012-09-25","HA1",2012,"F","Adult",91.1111111111111,0,0,1,8,0.111111111111111,9,2,7,0.222222222222222,9,0,6,16,0.272727272727273,22,5,17,0.227272727272727,22,0,8,16,0.333333333333333,24,5,19,0.208333333333333,24,0,11,28,0.282051282051282,39,7,32,0.179487179487179,39,0,12,31,0.27906976744186,43,8,35,0.186046511627907,43,0,16,39,0.290909090909091,55,10,45,0.181818181818182,55,0,20,50,0.285714285714286,70,14,56,0.2,70,0,24,63,0.275862068965517,87,19,68,0.218390804597701,87,0,25,74,0.252525252525253,99,21,78,0.212121212121212,99,0,38,112,0.253333333333333,150,32,118,0.213333333333333,150
"220",79619290,"79619290-2012-09-28",100,80,"2012-09-28","HA1",2012,"M","Adult",1392.98245614035,0,0,1,14,0.0666666666666667,15,2,13,0.133333333333333,15,0,3,20,0.130434782608696,23,3,20,0.130434782608696,23,0,4,22,0.153846153846154,26,3,23,0.115384615384615,26,0,5,35,0.125,40,4,36,0.1,40,0,8,41,0.163265306122449,49,6,43,0.122448979591837,49,0,8,42,0.16,50,7,43,0.14,50,0,9,51,0.15,60,9,51,0.15,60,0,11,59,0.157142857142857,70,10,60,0.142857142857143,70,0,11,65,0.144736842105263,76,11,65,0.144736842105263,76,0,20,91,0.18018018018018,111,17,94,0.153153153153153,111
"222",66843623,"66843623-2012-09-28",100,90,"2012-09-28","HA1",2012,"M","Adult",246.153846153846,0,0,1,10,0.0909090909090909,11,2,9,0.181818181818182,11,0,1,15,0.0625,16,2,14,0.125,16,0,2,22,0.0833333333333333,24,3,21,0.125,24,0,7,34,0.170731707317073,41,5,36,0.121951219512195,41,0,7,36,0.162790697674419,43,5,38,0.116279069767442,43,0,8,41,0.163265306122449,49,6,43,0.122448979591837,49,0,9,48,0.157894736842105,57,6,51,0.105263157894737,57,0,10,51,0.163934426229508,61,7,54,0.114754098360656,61,0,12,53,0.184615384615385,65,8,57,0.123076923076923,65,0,14,81,0.147368421052632,95,15,80,0.157894736842105,95
"227",79632292,"79632292-2012-09-13",100,10,"2012-09-13","HA1",2012,"M","Adult",109.090909090909,1,0,3,8,0.272727272727273,11,4,7,0.363636363636364,11,0,4,9,0.307692307692308,13,4,9,0.307692307692308,13,0,5,16,0.238095238095238,21,5,16,0.238095238095238,21,0,7,22,0.241379310344828,29,6,23,0.206896551724138,29,0,9,23,0.28125,32,6,26,0.1875,32,0,10,25,0.285714285714286,35,6,29,0.171428571428571,35,0,10,31,0.24390243902439,41,8,33,0.195121951219512,41,0,11,32,0.255813953488372,43,8,35,0.186046511627907,43,0,11,32,0.255813953488372,43,8,35,0.186046511627907,43,0,12,41,0.226415094339623,53,11,42,0.207547169811321,53
"230",79618628,"79618628-2012-09-27",100,50,"2012-09-27","HA1",2012,"M","Adult",3781.81818181818,0,0,0,3,0,3,0,3,0,3,0,0,8,0,8,1,7,0.125,8,0,1,17,0.0555555555555556,18,3,15,0.166666666666667,18,0,5,25,0.166666666666667,30,4,26,0.133333333333333,30,0,7,28,0.2,35,4,31,0.114285714285714,35,0,10,40,0.2,50,7,43,0.14,50,0,11,47,0.189655172413793,58,7,51,0.120689655172414,58,0,13,53,0.196969696969697,66,8,58,0.121212121212121,66,0,15,61,0.197368421052632,76,11,65,0.144736842105263,76,0,20,83,0.194174757281553,103,17,86,0.16504854368932,103
"232",79790568,"79790568-2012-09-27",90,70,"2012-09-27","HA1",2012,"M","Adult",302.222222222222,1,0,1,15,0.0625,16,0,16,0,16,0,4,23,0.148148148148148,27,2,25,0.0740740740740741,27,0,4,27,0.129032258064516,31,2,29,0.0645161290322581,31,0,6,38,0.136363636363636,44,4,40,0.0909090909090909,44,0,8,44,0.153846153846154,52,6,46,0.115384615384615,52,0,8,48,0.142857142857143,56,7,49,0.125,56,0,11,60,0.154929577464789,71,9,62,0.126760563380282,71,0,14,66,0.175,80,9,71,0.1125,80,0,15,68,0.180722891566265,83,9,74,0.108433734939759,83,0,23,93,0.198275862068966,116,16,100,0.137931034482759,116
"242",79638280,"79638280-2012-09-27",30,60,"2012-09-27","HA1",2012,"F","Adult",1446.51162790698,0,0,7,9,0.4375,16,2,14,0.125,16,0,8,20,0.285714285714286,28,4,24,0.142857142857143,28,0,11,26,0.297297297297297,37,6,31,0.162162162162162,37,0,15,42,0.263157894736842,57,12,45,0.210526315789474,57,0,19,56,0.253333333333333,75,21,54,0.28,75,0,20,65,0.235294117647059,85,22,63,0.258823529411765,85,0,22,75,0.22680412371134,97,26,71,0.268041237113402,97,0,26,93,0.218487394957983,119,29,90,0.243697478991597,119,0,28,107,0.207407407407407,135,34,101,0.251851851851852,135,0,47,168,0.218604651162791,215,44,171,0.204651162790698,215
"264",79790568,"79790568-2012-10-09",90,80,"2012-10-09","HA1",2012,"M","Adult",260.31746031746,0,0,5,19,0.208333333333333,24,4,20,0.166666666666667,24,0,6,35,0.146341463414634,41,8,33,0.195121951219512,41,0,6,41,0.127659574468085,47,8,39,0.170212765957447,47,0,10,57,0.149253731343284,67,11,56,0.164179104477612,67,0,12,63,0.16,75,11,64,0.146666666666667,75,0,12,68,0.15,80,12,68,0.15,80,0,14,73,0.160919540229885,87,14,73,0.160919540229885,87,0,15,86,0.148514851485149,101,18,83,0.178217821782178,101,0,17,89,0.160377358490566,106,20,86,0.188679245283019,106,0,26,106,0.196969696969697,132,25,107,0.189393939393939,132
"279",79792581,"79792581-2012-10-11",90,70,"2012-10-11","HA1",2012,"F","Adult",400,0,0,2,24,0.0769230769230769,26,4,22,0.153846153846154,26,0,5,38,0.116279069767442,43,7,36,0.162790697674419,43,0,7,45,0.134615384615385,52,9,43,0.173076923076923,52,0,9,62,0.126760563380282,71,14,57,0.197183098591549,71,0,11,73,0.130952380952381,84,17,67,0.202380952380952,84,0,11,82,0.118279569892473,93,18,75,0.193548387096774,93,0,14,102,0.120689655172414,116,22,94,0.189655172413793,116,0,18,110,0.140625,128,22,106,0.171875,128,0,20,113,0.150375939849624,133,23,110,0.172932330827068,133,0,31,147,0.174157303370787,178,31,147,0.174157303370787,178
"288",79783071,"79783071-2012-10-09",0,40,"2012-10-09","HA1",2012,"F","NotAdult",1840,0,0,5,10,0.333333333333333,15,2,13,0.133333333333333,15,0,5,18,0.217391304347826,23,2,21,0.0869565217391304,23,0,8,30,0.210526315789474,38,2,36,0.0526315789473684,38,0,12,42,0.222222222222222,54,6,48,0.111111111111111,54,0,13,51,0.203125,64,7,57,0.109375,64,0,13,65,0.166666666666667,78,10,68,0.128205128205128,78,0,20,82,0.196078431372549,102,15,87,0.147058823529412,102,0,22,95,0.188034188034188,117,20,97,0.170940170940171,117,0,24,108,0.181818181818182,132,22,110,0.166666666666667,132,0,31,151,0.17032967032967,182,30,152,0.164835164835165,182
"335",67088839,"67088839-2012-10-23",20,60,"2012-10-23","HA1",2012,"M","Adult",2230.76923076923,0,0,4,22,0.153846153846154,26,6,20,0.230769230769231,26,0,12,32,0.272727272727273,44,10,34,0.227272727272727,44,0,16,43,0.271186440677966,59,11,48,0.186440677966102,59,0,21,69,0.233333333333333,90,20,70,0.222222222222222,90,0,22,84,0.207547169811321,106,23,83,0.216981132075472,106,0,24,88,0.214285714285714,112,24,88,0.214285714285714,112,0,27,108,0.2,135,28,107,0.207407407407407,135,0,31,130,0.192546583850932,161,34,127,0.211180124223602,161,0,32,144,0.181818181818182,176,38,138,0.215909090909091,176,0,52,216,0.194029850746269,268,51,217,0.190298507462687,268
"340",66828572,"66828572-2012-10-23",50,0,"2012-10-23","HA1",2012,"M","Adult",13.7931034482759,0,0,1,4,0.2,5,0,5,0,5,0,3,5,0.375,8,1,7,0.125,8,0,5,19,0.208333333333333,24,2,22,0.0833333333333333,24,0,9,32,0.219512195121951,41,3,38,0.0731707317073171,41,0,9,39,0.1875,48,4,44,0.0833333333333333,48,0,11,45,0.196428571428571,56,4,52,0.0714285714285714,56,0,13,56,0.188405797101449,69,7,62,0.101449275362319,69,0,14,70,0.166666666666667,84,8,76,0.0952380952380952,84,0,16,79,0.168421052631579,95,10,85,0.105263157894737,95,0,29,136,0.175757575757576,165,20,145,0.121212121212121,165
"356",79792086,"79792086-2012-10-25",100,10,"2012-10-25","HA1",2012,"F","NotAdult",100,0,0,5,19,0.208333333333333,24,6,18,0.25,24,0,6,21,0.222222222222222,27,6,21,0.222222222222222,27,0,8,30,0.210526315789474,38,7,31,0.184210526315789,38,0,11,43,0.203703703703704,54,9,45,0.166666666666667,54,0,13,45,0.224137931034483,58,10,48,0.172413793103448,58,0,15,53,0.220588235294118,68,11,57,0.161764705882353,68,0,15,66,0.185185185185185,81,13,68,0.160493827160494,81,0,17,70,0.195402298850575,87,13,74,0.149425287356322,87,0,18,72,0.2,90,15,75,0.166666666666667,90,0,23,96,0.19327731092437,119,20,99,0.168067226890756,119
