"","ID","ID.CapDate","X","Y","Capture.date","Grid","year","Sex","Age","EappInt","HpolINF","PropOnGrid_10","NoNemInf_10","NoNemUninf_10","NemPrev_10","NoNemTotal_10","NoEimInf_10","NoEimUninf_10","EimPrev_10","NoEimTotal_10","PropOnGrid_14.1","NoNemInf_14.1","NoNemUninf_14.1","NemPrev_14.1","NoNemTotal_14.1","NoEimInf_14.1","NoEimUninf_14.1","EimPrev_14.1","NoEimTotal_14.1","PropOnGrid_20","NoNemInf_20","NoNemUninf_20","NemPrev_20","NoNemTotal_20","NoEimInf_20","NoEimUninf_20","EimPrev_20","NoEimTotal_20","PropOnGrid_22.4","NoNemInf_22.4","NoNemUninf_22.4","NemPrev_22.4","NoNemTotal_22.4","NoEimInf_22.4","NoEimUninf_22.4","EimPrev_22.4","NoEimTotal_22.4","PropOnGrid_28.3","NoNemInf_28.3","NoNemUninf_28.3","NemPrev_28.3","NoNemTotal_28.3","NoEimInf_28.3","NoEimUninf_28.3","EimPrev_28.3","NoEimTotal_28.3","PropOnGrid_30","NoNemInf_30","NoNemUninf_30","NemPrev_30","NoNemTotal_30","NoEimInf_30","NoEimUninf_30","EimPrev_30","NoEimTotal_30","PropOnGrid_31.6","NoNemInf_31.6","NoNemUninf_31.6","NemPrev_31.6","NoNemTotal_31.6","NoEimInf_31.6","NoEimUninf_31.6","EimPrev_31.6","NoEimTotal_31.6","PropOnGrid_36.1","NoNemInf_36.1","NoNemUninf_36.1","NemPrev_36.1","NoNemTotal_36.1","NoEimInf_36.1","NoEimUninf_36.1","EimPrev_36.1","NoEimTotal_36.1","PropOnGrid_40","NoNemInf_40","NoNemUninf_40","NemPrev_40","NoNemTotal_40","NoEimInf_40","NoEimUninf_40","EimPrev_40","NoEimTotal_40","PropOnGrid_50","NoNemInf_50","NoNemUninf_50","NemPrev_50","NoNemTotal_50","NoEimInf_50","NoEimUninf_50","EimPrev_50","NoEimTotal_50"
"152",79623797,"79623797-2012-08-30",10,40,"2012-08-30","HA1",2012,"M","Adult",872.222222222222,0,0,0,6,0,6,1,5,0.166666666666667,6,0,2,8,0.2,10,1,9,0.1,10,0,3,9,0.25,12,2,10,0.166666666666667,12,0,5,18,0.217391304347826,23,2,21,0.0869565217391304,23,0,5,19,0.208333333333333,24,2,22,0.0833333333333333,24,0,7,23,0.233333333333333,30,4,26,0.133333333333333,30,0,7,33,0.175,40,6,34,0.15,40,0,7,37,0.159090909090909,44,7,37,0.159090909090909,44,0,8,45,0.150943396226415,53,10,43,0.188679245283019,53,0,9,54,0.142857142857143,63,12,51,0.19047619047619,63
"154",67007587,"67007587-2012-08-30",10,70,"2012-08-30","HA1",2012,"M","Adult",850,0,0,3,7,0.3,10,4,6,0.4,10,0,3,11,0.214285714285714,14,4,10,0.285714285714286,14,0,3,14,0.176470588235294,17,5,12,0.294117647058824,17,0,5,18,0.217391304347826,23,6,17,0.260869565217391,23,0,7,20,0.259259259259259,27,6,21,0.222222222222222,27,0,7,22,0.241379310344828,29,6,23,0.206896551724138,29,0,7,23,0.233333333333333,30,6,24,0.2,30,0,7,27,0.205882352941176,34,8,26,0.235294117647059,34,0,7,31,0.184210526315789,38,9,29,0.236842105263158,38,0,9,42,0.176470588235294,51,11,40,0.215686274509804,51
"168",79796354,"79796354-2012-09-11",80,20,"2012-09-11","HA1",2012,"M","Adult",61.5384615384615,1,0,1,3,0.25,4,0,4,0,4,0,2,4,0.333333333333333,6,0,6,0,6,0,4,11,0.266666666666667,15,2,13,0.133333333333333,15,0,5,18,0.217391304347826,23,2,21,0.0869565217391304,23,0,5,20,0.2,25,2,23,0.08,25,0,5,23,0.178571428571429,28,4,24,0.142857142857143,28,0,7,23,0.233333333333333,30,4,26,0.133333333333333,30,0,7,28,0.2,35,6,29,0.171428571428571,35,0,7,29,0.194444444444444,36,6,30,0.166666666666667,36,0,9,39,0.1875,48,10,38,0.208333333333333,48
"173",79637279,"79637279-2012-09-12",0,100,"2012-09-12","HA1",2012,"M","Adult",12.1212121212121,0,0,0,8,0,8,3,5,0.375,8,0,0,10,0,10,4,6,0.4,10,0,0,15,0,15,4,11,0.266666666666667,15,0,0,18,0,18,5,13,0.277777777777778,18,0,0,19,0,19,5,14,0.263157894736842,19,0,0,22,0,22,6,16,0.272727272727273,22,0,2,27,0.0689655172413793,29,9,20,0.310344827586207,29,0,2,29,0.0645161290322581,31,9,22,0.290322580645161,31,0,3,33,0.0833333333333333,36,10,26,0.277777777777778,36,0,7,37,0.159090909090909,44,12,32,0.272727272727273,44
"178",79795857,"79795857-2012-09-13",30,100,"2012-09-13","HA1",2012,"M","Adult",21.0526315789474,0,0,1,11,0.0833333333333333,12,2,10,0.166666666666667,12,0,1,12,0.0769230769230769,13,3,10,0.230769230769231,13,0,3,14,0.176470588235294,17,3,14,0.176470588235294,17,0,3,18,0.142857142857143,21,4,17,0.19047619047619,21,0,4,23,0.148148148148148,27,5,22,0.185185185185185,27,0,4,32,0.111111111111111,36,8,28,0.222222222222222,36,0,5,38,0.116279069767442,43,11,32,0.255813953488372,43,0,7,46,0.132075471698113,53,15,38,0.283018867924528,53,0,7,48,0.127272727272727,55,16,39,0.290909090909091,55,0,13,60,0.178082191780822,73,20,53,0.273972602739726,73
"189",67006795,"67006795-2012-09-25",20,40,"2012-09-25","HA1",2012,"M","Adult",9672.72727272727,0,0,0,13,0,13,1,12,0.0769230769230769,13,0,2,18,0.1,20,2,18,0.1,20,0,2,23,0.08,25,2,23,0.08,25,0,3,31,0.0882352941176471,34,3,31,0.0882352941176471,34,0,4,36,0.1,40,4,36,0.1,40,0,4,44,0.0833333333333333,48,6,42,0.125,48,0,8,51,0.135593220338983,59,11,48,0.186440677966102,59,0,9,55,0.140625,64,12,52,0.1875,64,0,9,57,0.136363636363636,66,12,54,0.181818181818182,66,0,11,72,0.132530120481928,83,15,68,0.180722891566265,83
"194",66818332,"66818332-2012-09-11",10,80,"2012-09-11","HA1",2012,"F","Adult",69.3877551020408,0,0,2,10,0.166666666666667,12,4,8,0.333333333333333,12,0,2,15,0.117647058823529,17,6,11,0.352941176470588,17,0,3,18,0.142857142857143,21,7,14,0.333333333333333,21,0,3,23,0.115384615384615,26,7,19,0.269230769230769,26,0,3,25,0.107142857142857,28,8,20,0.285714285714286,28,0,3,26,0.103448275862069,29,8,21,0.275862068965517,29,0,4,29,0.121212121212121,33,9,24,0.272727272727273,33,0,8,31,0.205128205128205,39,10,29,0.256410256410256,39,0,8,35,0.186046511627907,43,11,32,0.255813953488372,43,0,10,46,0.178571428571429,56,15,41,0.267857142857143,56
"196",79786360,"79786360-2012-09-11",30,30,"2012-09-11","HA1",2012,"F","Adult",14.2857142857143,0,0,0,5,0,5,0,5,0,5,0,0,8,0,8,0,8,0,8,0,3,15,0.166666666666667,18,2,16,0.111111111111111,18,0,3,30,0.0909090909090909,33,6,27,0.181818181818182,33,0,3,33,0.0833333333333333,36,7,29,0.194444444444444,36,0,3,37,0.075,40,7,33,0.175,40,0,5,41,0.108695652173913,46,7,39,0.152173913043478,46,0,8,48,0.142857142857143,56,10,46,0.178571428571429,56,0,8,48,0.142857142857143,56,10,46,0.178571428571429,56,0,14,58,0.194444444444444,72,14,58,0.194444444444444,72
"205",67089554,"67089554-2012-09-25",40,90,"2012-09-25","HA1",2012,"F","Adult",82.2222222222222,0,0,1,7,0.125,8,2,6,0.25,8,0,4,14,0.222222222222222,18,4,14,0.222222222222222,18,0,4,14,0.222222222222222,18,4,14,0.222222222222222,18,0,4,24,0.142857142857143,28,8,20,0.285714285714286,28,0,4,26,0.133333333333333,30,8,22,0.266666666666667,30,0,5,31,0.138888888888889,36,10,26,0.277777777777778,36,0,5,37,0.119047619047619,42,11,31,0.261904761904762,42,0,7,42,0.142857142857143,49,14,35,0.285714285714286,49,0,7,48,0.127272727272727,55,19,36,0.345454545454545,55,0,12,72,0.142857142857143,84,24,60,0.285714285714286,84
"206",79618812,"79618812-2012-09-25",40,60,"2012-09-25","HA1",2012,"M","Adult",4.65116279069767,0,0,1,3,0.25,4,2,2,0.5,4,0,3,4,0.428571428571429,7,3,4,0.428571428571429,7,0,3,7,0.3,10,3,7,0.3,10,0,4,21,0.16,25,4,21,0.16,25,0,4,25,0.137931034482759,29,5,24,0.172413793103448,29,0,6,29,0.171428571428571,35,7,28,0.2,35,0,10,40,0.2,50,11,39,0.22,50,0,10,49,0.169491525423729,59,13,46,0.220338983050847,59,0,12,55,0.17910447761194,67,14,53,0.208955223880597,67,0,17,94,0.153153153153153,111,28,83,0.252252252252252,111
"227",79632292,"79632292-2012-09-13",100,10,"2012-09-13","HA1",2012,"M","Adult",354.545454545455,1,0,1,7,0.125,8,1,7,0.125,8,0,2,8,0.2,10,1,9,0.1,10,0,2,11,0.153846153846154,13,1,12,0.0769230769230769,13,0,4,16,0.2,20,2,18,0.1,20,0,5,16,0.238095238095238,21,2,19,0.0952380952380952,21,0,6,18,0.25,24,2,22,0.0833333333333333,24,0,6,22,0.214285714285714,28,2,26,0.0714285714285714,28,0,7,22,0.241379310344828,29,3,26,0.103448275862069,29,0,7,22,0.241379310344828,29,3,26,0.103448275862069,29,0,8,27,0.228571428571429,35,5,30,0.142857142857143,35
"238",79786569,"79786569-2012-09-27",60,100,"2012-09-27","HA1",2012,"M","Adult",511.111111111112,0,0,2,7,0.222222222222222,9,3,6,0.333333333333333,9,0,2,11,0.153846153846154,13,4,9,0.307692307692308,13,0,3,19,0.136363636363636,22,6,16,0.272727272727273,22,0,4,24,0.142857142857143,28,9,19,0.321428571428571,28,0,4,24,0.142857142857143,28,9,19,0.321428571428571,28,0,4,32,0.111111111111111,36,12,24,0.333333333333333,36,0,4,36,0.1,40,13,27,0.325,40,0,4,39,0.0930232558139535,43,13,30,0.302325581395349,43,0,4,43,0.0851063829787234,47,13,34,0.276595744680851,47,0,8,68,0.105263157894737,76,26,50,0.342105263157895,76
"240",66866543,"66866543-2012-09-27",50,0,"2012-09-27","HA1",2012,"F","NotAdult",2276.92307692308,0,0,1,1,0.5,2,1,1,0.5,2,0,1,2,0.333333333333333,3,1,2,0.333333333333333,3,0,3,9,0.25,12,1,11,0.0833333333333333,12,0,4,12,0.25,16,2,14,0.125,16,0,4,16,0.2,20,2,18,0.1,20,0,6,19,0.24,25,2,23,0.08,25,0,6,25,0.193548387096774,31,3,28,0.0967741935483871,31,0,7,32,0.179487179487179,39,5,34,0.128205128205128,39,0,8,38,0.173913043478261,46,7,39,0.152173913043478,46,0,12,55,0.17910447761194,67,10,57,0.149253731343284,67
"242",79638280,"79638280-2012-09-27",30,60,"2012-09-27","HA1",2012,"F","Adult",172.093023255814,0,0,3,4,0.428571428571429,7,2,5,0.285714285714286,7,0,3,11,0.214285714285714,14,3,11,0.214285714285714,14,0,4,15,0.210526315789474,19,3,16,0.157894736842105,19,0,6,27,0.181818181818182,33,8,25,0.242424242424242,33,0,7,39,0.152173913043478,46,11,35,0.239130434782609,46,0,7,45,0.134615384615385,52,12,40,0.230769230769231,52,0,7,54,0.114754098360656,61,15,46,0.245901639344262,61,0,9,62,0.126760563380282,71,17,54,0.23943661971831,71,0,10,74,0.119047619047619,84,22,62,0.261904761904762,84,0,18,112,0.138461538461538,130,33,97,0.253846153846154,130
"251",79784299,"79784299-2012-09-28",80,70,"2012-09-28","HA1",2012,"F","NotAdult",638.095238095238,0,0,3,5,0.375,8,3,5,0.375,8,0,4,14,0.222222222222222,18,6,12,0.333333333333333,18,0,4,20,0.166666666666667,24,8,16,0.333333333333333,24,0,4,35,0.102564102564103,39,16,23,0.41025641025641,39,0,4,40,0.0909090909090909,44,18,26,0.409090909090909,44,0,5,44,0.102040816326531,49,19,30,0.387755102040816,49,0,7,49,0.125,56,20,36,0.357142857142857,56,0,8,60,0.117647058823529,68,25,43,0.367647058823529,68,0,9,60,0.130434782608696,69,25,44,0.36231884057971,69,0,19,83,0.186274509803922,102,33,69,0.323529411764706,102
"256",79617035,"79617035-2012-10-09",100,0,"2012-10-09","HA1",2012,"F","Adult",54857.1428571429,0,0,3,2,0.6,5,2,3,0.4,5,0,3,2,0.6,5,2,3,0.4,5,0,3,5,0.375,8,2,6,0.25,8,0,3,6,0.333333333333333,9,2,7,0.222222222222222,9,0,4,8,0.333333333333333,12,3,9,0.25,12,0,5,11,0.3125,16,3,13,0.1875,16,0,7,12,0.368421052631579,19,3,16,0.157894736842105,19,0,7,13,0.35,20,3,17,0.15,20,0,7,17,0.291666666666667,24,3,21,0.125,24,0,10,26,0.277777777777778,36,7,29,0.194444444444444,36
"258",79775849,"79775849-2012-10-09",100,40,"2012-10-09","HA1",2012,"F","Adult",60.7142857142857,0,0,1,8,0.111111111111111,9,0,9,0,9,0,3,10,0.230769230769231,13,1,12,0.0769230769230769,13,0,4,14,0.222222222222222,18,2,16,0.111111111111111,18,0,4,19,0.173913043478261,23,3,20,0.130434782608696,23,0,6,21,0.222222222222222,27,4,23,0.148148148148148,27,0,9,25,0.264705882352941,34,7,27,0.205882352941176,34,0,11,28,0.282051282051282,39,10,29,0.256410256410256,39,0,12,31,0.27906976744186,43,13,30,0.302325581395349,43,0,13,35,0.270833333333333,48,14,34,0.291666666666667,48,0,15,53,0.220588235294118,68,16,52,0.235294117647059,68
"264",79790568,"79790568-2012-10-09",90,80,"2012-10-09","HA1",2012,"M","Adult",38.0952380952381,0,0,3,9,0.25,12,4,8,0.333333333333333,12,0,3,17,0.15,20,6,14,0.3,20,0,3,21,0.125,24,7,17,0.291666666666667,24,0,4,31,0.114285714285714,35,8,27,0.228571428571429,35,0,5,32,0.135135135135135,37,10,27,0.27027027027027,37,0,5,36,0.121951219512195,41,13,28,0.317073170731707,41,0,5,39,0.113636363636364,44,13,31,0.295454545454545,44,0,5,45,0.1,50,17,33,0.34,50,0,6,48,0.111111111111111,54,17,37,0.314814814814815,54,0,13,61,0.175675675675676,74,21,53,0.283783783783784,74
"270",79630840,"79630840-2012-10-09",70,70,"2012-10-09","HA1",2012,"F","NotAdult",35200,0,0,1,5,0.166666666666667,6,3,3,0.5,6,0,2,10,0.166666666666667,12,6,6,0.5,12,0,4,18,0.181818181818182,22,10,12,0.454545454545455,22,0,6,30,0.166666666666667,36,12,24,0.333333333333333,36,0,7,34,0.170731707317073,41,14,27,0.341463414634146,41,0,8,37,0.177777777777778,45,15,30,0.333333333333333,45,0,11,52,0.174603174603175,63,22,41,0.349206349206349,63,0,12,64,0.157894736842105,76,26,50,0.342105263157895,76,0,12,64,0.157894736842105,76,26,50,0.342105263157895,76,0,19,94,0.168141592920354,113,32,81,0.283185840707965,113
"273",79786569,"79786569-2012-10-09",60,70,"2012-10-09","HA1",2012,"M","Adult",61800,0,0,0,7,0,7,3,4,0.428571428571429,7,0,3,9,0.25,12,6,6,0.5,12,0,3,12,0.2,15,7,8,0.466666666666667,15,0,5,26,0.161290322580645,31,11,20,0.354838709677419,31,0,5,32,0.135135135135135,37,14,23,0.378378378378378,37,0,8,38,0.173913043478261,46,20,26,0.434782608695652,46,0,10,49,0.169491525423729,59,23,36,0.389830508474576,59,0,13,62,0.173333333333333,75,26,49,0.346666666666667,75,0,13,66,0.164556962025316,79,26,53,0.329113924050633,79,0,19,113,0.143939393939394,132,35,97,0.265151515151515,132
"274",79781605,"79781605-2012-10-09",60,40,"2012-10-09","HA1",2012,"F","Adult",12600,0,0,2,2,0.5,4,1,3,0.25,4,0,4,5,0.444444444444444,9,2,7,0.222222222222222,9,0,6,11,0.352941176470588,17,4,13,0.235294117647059,17,0,11,16,0.407407407407407,27,8,19,0.296296296296296,27,0,14,22,0.388888888888889,36,11,25,0.305555555555556,36,0,14,30,0.318181818181818,44,11,33,0.25,44,0,16,37,0.30188679245283,53,13,40,0.245283018867925,53,0,16,47,0.253968253968254,63,16,47,0.253968253968254,63,0,16,56,0.222222222222222,72,19,53,0.263888888888889,72,0,24,102,0.19047619047619,126,29,97,0.23015873015873,126
"292",67006795,"67006795-2012-10-09",20,40,"2012-10-09","HA1",2012,"M","Adult",4844.44444444444,0,0,0,16,0,16,2,14,0.125,16,0,0,20,0,20,3,17,0.15,20,0,0,26,0,26,3,23,0.115384615384615,26,0,3,38,0.0731707317073171,41,5,36,0.121951219512195,41,0,4,48,0.0769230769230769,52,8,44,0.153846153846154,52,0,4,53,0.0701754385964912,57,9,48,0.157894736842105,57,0,6,61,0.0895522388059701,67,12,55,0.17910447761194,67,0,9,67,0.118421052631579,76,14,62,0.184210526315789,76,0,10,68,0.128205128205128,78,14,64,0.179487179487179,78,0,15,95,0.136363636363636,110,19,91,0.172727272727273,110
"295",79769626,"79769626-2012-10-09",40,80,"2012-10-09","HA1",2012,"F","Adult",16933.3333333333,0,0,1,4,0.2,5,2,3,0.4,5,0,1,7,0.125,8,2,6,0.25,8,0,3,18,0.142857142857143,21,7,14,0.333333333333333,21,0,5,32,0.135135135135135,37,13,24,0.351351351351351,37,0,5,42,0.106382978723404,47,17,30,0.361702127659574,47,0,5,48,0.0943396226415094,53,19,34,0.358490566037736,53,0,6,64,0.0857142857142857,70,22,48,0.314285714285714,70,0,7,74,0.0864197530864197,81,25,56,0.308641975308642,81,0,8,80,0.0909090909090909,88,25,63,0.284090909090909,88,0,13,116,0.10077519379845,129,34,95,0.263565891472868,129
"300",79639272,"79639272-2012-10-10",0,90,"2012-10-10","HA1",2012,"M","Adult",444.444444444444,0,0,2,15,0.117647058823529,17,4,13,0.235294117647059,17,0,2,22,0.0833333333333333,24,6,18,0.25,24,0,2,28,0.0666666666666667,30,7,23,0.233333333333333,30,0,2,37,0.0512820512820513,39,8,31,0.205128205128205,39,0,2,38,0.05,40,8,32,0.2,40,0,2,42,0.0454545454545455,44,8,36,0.181818181818182,44,0,2,51,0.0377358490566038,53,12,41,0.226415094339623,53,0,2,53,0.0363636363636364,55,12,43,0.218181818181818,55,0,3,56,0.0508474576271186,59,15,44,0.254237288135593,59,0,5,77,0.0609756097560976,82,21,61,0.25609756097561,82
"310",67075638,"67075638-2012-10-24",70,60,"2012-10-24","HA1",2012,"F","NotAdult",466.666666666667,0,0,1,9,0.1,10,5,5,0.5,10,0,2,15,0.117647058823529,17,8,9,0.470588235294118,17,0,4,23,0.148148148148148,27,12,15,0.444444444444444,27,0,7,34,0.170731707317073,41,17,24,0.414634146341463,41,0,8,39,0.170212765957447,47,18,29,0.382978723404255,47,0,9,52,0.147540983606557,61,22,39,0.360655737704918,61,0,9,64,0.123287671232877,73,23,50,0.315068493150685,73,0,13,82,0.136842105263158,95,25,70,0.263157894736842,95,0,13,90,0.12621359223301,103,28,75,0.271844660194175,103,0,20,141,0.124223602484472,161,39,122,0.242236024844721,161
"314",79770053,"79770053-2012-10-25",10,20,"2012-10-25","HA1",2012,"M","Adult",11.7647058823529,0,0,1,17,0.0555555555555556,18,1,17,0.0555555555555556,18,0,4,31,0.114285714285714,35,2,33,0.0571428571428571,35,0,4,36,0.1,40,2,38,0.05,40,0,6,49,0.109090909090909,55,5,50,0.0909090909090909,55,0,6,59,0.0923076923076923,65,5,60,0.0769230769230769,65,0,6,62,0.0882352941176471,68,6,62,0.0882352941176471,68,0,9,66,0.12,75,7,68,0.0933333333333333,75,0,9,69,0.115384615384615,78,7,71,0.0897435897435897,78,0,11,71,0.134146341463415,82,7,75,0.0853658536585366,82,0,16,97,0.141592920353982,113,12,101,0.106194690265487,113
