"","ID","ID.CapDate","X","Y","Capture.date","Grid","year","Sex","Age","EappInt","HpolINF","PropOnGrid_10","NoNemInf_10","NoNemUninf_10","NemPrev_10","NoNemTotal_10","NoEimInf_10","NoEimUninf_10","EimPrev_10","NoEimTotal_10","PropOnGrid_14.1","NoNemInf_14.1","NoNemUninf_14.1","NemPrev_14.1","NoNemTotal_14.1","NoEimInf_14.1","NoEimUninf_14.1","EimPrev_14.1","NoEimTotal_14.1","PropOnGrid_20","NoNemInf_20","NoNemUninf_20","NemPrev_20","NoNemTotal_20","NoEimInf_20","NoEimUninf_20","EimPrev_20","NoEimTotal_20","PropOnGrid_22.4","NoNemInf_22.4","NoNemUninf_22.4","NemPrev_22.4","NoNemTotal_22.4","NoEimInf_22.4","NoEimUninf_22.4","EimPrev_22.4","NoEimTotal_22.4","PropOnGrid_28.3","NoNemInf_28.3","NoNemUninf_28.3","NemPrev_28.3","NoNemTotal_28.3","NoEimInf_28.3","NoEimUninf_28.3","EimPrev_28.3","NoEimTotal_28.3","PropOnGrid_30","NoNemInf_30","NoNemUninf_30","NemPrev_30","NoNemTotal_30","NoEimInf_30","NoEimUninf_30","EimPrev_30","NoEimTotal_30","PropOnGrid_31.6","NoNemInf_31.6","NoNemUninf_31.6","NemPrev_31.6","NoNemTotal_31.6","NoEimInf_31.6","NoEimUninf_31.6","EimPrev_31.6","NoEimTotal_31.6","PropOnGrid_36.1","NoNemInf_36.1","NoNemUninf_36.1","NemPrev_36.1","NoNemTotal_36.1","NoEimInf_36.1","NoEimUninf_36.1","EimPrev_36.1","NoEimTotal_36.1","PropOnGrid_40","NoNemInf_40","NoNemUninf_40","NemPrev_40","NoNemTotal_40","NoEimInf_40","NoEimUninf_40","EimPrev_40","NoEimTotal_40","PropOnGrid_50","NoNemInf_50","NoNemUninf_50","NemPrev_50","NoNemTotal_50","NoEimInf_50","NoEimUninf_50","EimPrev_50","NoEimTotal_50"
"154",67007587,"67007587-2012-08-30",10,70,"2012-08-30","HA1",2012,"M","Adult",850,0,0,3,4,0.428571428571429,7,2,5,0.285714285714286,7,0,3,6,0.333333333333333,9,2,7,0.222222222222222,9,0,3,8,0.272727272727273,11,3,8,0.272727272727273,11,0,3,10,0.230769230769231,13,4,9,0.307692307692308,13,0,5,11,0.3125,16,4,12,0.25,16,0,5,12,0.294117647058824,17,4,13,0.235294117647059,17,0,5,13,0.277777777777778,18,4,14,0.222222222222222,18,0,5,16,0.238095238095238,21,6,15,0.285714285714286,21,0,5,17,0.227272727272727,22,6,16,0.272727272727273,22,0,7,26,0.212121212121212,33,8,25,0.242424242424242,33
"168",79796354,"79796354-2012-09-11",80,20,"2012-09-11","HA1",2012,"M","Adult",61.5384615384615,1,0,0,0,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,0,0,1,2,0.333333333333333,3,1,2,0.333333333333333,3,0,2,3,0.4,5,1,4,0.2,5,0,2,4,0.333333333333333,6,1,5,0.166666666666667,6,0,2,4,0.333333333333333,6,1,5,0.166666666666667,6,0,3,4,0.428571428571429,7,1,6,0.142857142857143,7,0,3,5,0.375,8,1,7,0.125,8,0,3,5,0.375,8,1,7,0.125,8,0,5,12,0.294117647058824,17,5,12,0.294117647058824,17
"173",79637279,"79637279-2012-09-12",0,100,"2012-09-12","HA1",2012,"M","Adult",12.1212121212121,0,0,0,7,0,7,3,4,0.428571428571429,7,0,0,7,0,7,3,4,0.428571428571429,7,0,0,11,0,11,3,8,0.272727272727273,11,0,0,13,0,13,4,9,0.307692307692308,13,0,0,14,0,14,4,10,0.285714285714286,14,0,0,16,0,16,5,11,0.3125,16,0,0,19,0,19,6,13,0.315789473684211,19,0,0,20,0,20,6,14,0.3,20,0,1,24,0.04,25,7,18,0.28,25,0,2,27,0.0689655172413793,29,8,21,0.275862068965517,29
"178",79795857,"79795857-2012-09-13",30,100,"2012-09-13","HA1",2012,"M","Adult",21.0526315789474,0,0,1,10,0.0909090909090909,11,2,9,0.181818181818182,11,0,1,11,0.0833333333333333,12,3,9,0.25,12,0,2,13,0.133333333333333,15,3,12,0.2,15,0,2,15,0.117647058823529,17,3,14,0.176470588235294,17,0,3,19,0.136363636363636,22,4,18,0.181818181818182,22,0,3,26,0.103448275862069,29,6,23,0.206896551724138,29,0,3,30,0.0909090909090909,33,9,24,0.272727272727273,33,0,3,35,0.0789473684210526,38,11,27,0.289473684210526,38,0,3,35,0.0789473684210526,38,11,27,0.289473684210526,38,0,4,44,0.0833333333333333,48,12,36,0.25,48
"189",67006795,"67006795-2012-09-25",20,40,"2012-09-25","HA1",2012,"M","Adult",9672.72727272727,0,0,0,9,0,9,0,9,0,9,0,0,11,0,11,1,10,0.0909090909090909,11,0,0,14,0,14,1,13,0.0714285714285714,14,0,0,15,0,15,1,14,0.0666666666666667,15,0,0,19,0,19,2,17,0.105263157894737,19,0,0,21,0,21,2,19,0.0952380952380952,21,0,1,23,0.0416666666666667,24,2,22,0.0833333333333333,24,0,2,25,0.0740740740740741,27,3,24,0.111111111111111,27,0,2,25,0.0740740740740741,27,3,24,0.111111111111111,27,0,3,30,0.0909090909090909,33,5,28,0.151515151515152,33
"194",66818332,"66818332-2012-09-11",10,80,"2012-09-11","HA1",2012,"F","Adult",69.3877551020408,0,0,0,4,0,4,1,3,0.25,4,0,0,7,0,7,3,4,0.428571428571429,7,0,0,9,0,9,3,6,0.333333333333333,9,0,0,14,0,14,3,11,0.214285714285714,14,0,0,15,0,15,4,11,0.266666666666667,15,0,0,15,0,15,4,11,0.266666666666667,15,0,0,17,0,17,5,12,0.294117647058824,17,0,2,19,0.0952380952380952,21,6,15,0.285714285714286,21,0,2,23,0.08,25,7,18,0.28,25,0,3,29,0.09375,32,10,22,0.3125,32
"196",79786360,"79786360-2012-09-11",30,30,"2012-09-11","HA1",2012,"F","Adult",14.2857142857143,0,0,0,3,0,3,0,3,0,3,0,0,5,0,5,0,5,0,5,0,1,6,0.142857142857143,7,1,6,0.142857142857143,7,0,1,14,0.0666666666666667,15,4,11,0.266666666666667,15,0,1,15,0.0625,16,5,11,0.3125,16,0,1,18,0.0526315789473684,19,5,14,0.263157894736842,19,0,3,19,0.136363636363636,22,5,17,0.227272727272727,22,0,3,21,0.125,24,5,19,0.208333333333333,24,0,3,21,0.125,24,5,19,0.208333333333333,24,0,4,25,0.137931034482759,29,7,22,0.241379310344828,29
"205",67089554,"67089554-2012-09-25",40,90,"2012-09-25","HA1",2012,"F","Adult",82.2222222222222,0,0,0,2,0,2,0,2,0,2,0,1,5,0.166666666666667,6,1,5,0.166666666666667,6,0,1,5,0.166666666666667,6,1,5,0.166666666666667,6,0,1,10,0.0909090909090909,11,3,8,0.272727272727273,11,0,1,11,0.0833333333333333,12,3,9,0.25,12,0,1,13,0.0714285714285714,14,4,10,0.285714285714286,14,0,1,15,0.0625,16,5,11,0.3125,16,0,1,18,0.0526315789473684,19,5,14,0.263157894736842,19,0,1,20,0.0476190476190476,21,6,15,0.285714285714286,21,0,2,31,0.0606060606060606,33,8,25,0.242424242424242,33
"206",79618812,"79618812-2012-09-25",40,60,"2012-09-25","HA1",2012,"M","Adult",4.65116279069767,0,0,0,2,0,2,1,1,0.5,2,0,0,2,0,2,1,1,0.5,2,0,0,4,0,4,1,3,0.25,4,0,1,12,0.0769230769230769,13,1,12,0.0769230769230769,13,0,1,14,0.0666666666666667,15,1,14,0.0666666666666667,15,0,1,14,0.0666666666666667,15,1,14,0.0666666666666667,15,0,2,19,0.0952380952380952,21,2,19,0.0952380952380952,21,0,2,23,0.08,25,3,22,0.12,25,0,3,25,0.107142857142857,28,3,25,0.107142857142857,28,0,4,38,0.0952380952380952,42,8,34,0.19047619047619,42
"227",79632292,"79632292-2012-09-13",100,10,"2012-09-13","HA1",2012,"M","Adult",354.545454545455,1,0,0,2,0,2,0,2,0,2,0,1,3,0.25,4,0,4,0,4,0,1,3,0.25,4,0,4,0,4,0,3,3,0.5,6,1,5,0.166666666666667,6,0,3,3,0.5,6,1,5,0.166666666666667,6,0,3,5,0.375,8,1,7,0.125,8,0,3,8,0.272727272727273,11,1,10,0.0909090909090909,11,0,4,8,0.333333333333333,12,2,10,0.166666666666667,12,0,4,8,0.333333333333333,12,2,10,0.166666666666667,12,0,4,9,0.307692307692308,13,2,11,0.153846153846154,13
