X,Y,ID,year,Grid,Capture.date,Sex,Age,EappINF,EappInt,EhungINF,EhungInt,HpolINF,ID.CapDate,treated.Y.N
50,80,52842550,2012,HA1,19/06/2012,F,Adult,0,NA,1,142.8571429,1,52842550-2012-06-19,0
60,60,67126571,2012,HA1,19/06/2012,F,NotAdult,0,NA,1,7216.666667,0,67126571-2012-06-19,0
70,50,67076635,2012,HA1,19/06/2012,F,NotAdult,0,NA,1,95828.57143,0,67076635-2012-06-19,1
80,100,66883112,2012,HA1,19/06/2012,F,Adult,0,NA,0,NA,0,66883112-2012-06-19,0
80,80,66878865,2012,HA1,19/06/2012,M,Adult,0,NA,0,NA,1,66878865-2012-06-19,0
100,90,66855330,2012,HA1,19/06/2012,M,Adult,0,NA,0,NA,0,66855330-2012-06-19,1
100,30,67259597,2012,HA1,19/06/2012,F,Adult,0,NA,0,NA,0,67259597-2012-06-19,0
80,30,67288302,2012,HA1,19/06/2012,M,NotAdult,0,NA,0,NA,0,67288302-2012-06-19,1
10,100,49847790,2012,HA1,20/06/2012,F,Adult,0,NA,0,NA,1,49847790-2012-06-20,0
10,70,67010314,2012,HA1,21/06/2012,M,Adult,0,NA,0,NA,1,67010314-2012-06-21,0
60,20,67279792,2012,HA1,21/06/2012,M,Adult,1,20914.28571,1,771.4285714,0,67279792-2012-06-21,1
90,70,66811012,2012,HA1,21/06/2012,F,Adult,0,NA,0,NA,0,66811012-2012-06-21,0
80,100,67297817,2012,HA1,21/06/2012,F,NotAdult,0,NA,0,NA,0,67297817-2012-06-21,1
0,0,66855330,2012,HA1,03/07/2012,M,Adult,0,NA,0,NA,0,66855330-2012-07-03,1
10,50,67082058,2012,HA1,03/07/2012,F,NotAdult,NA,NA,0,NA,NA,67082058-2012-07-03,0
10,20,67279086,2012,HA1,03/07/2012,M,Adult,0,NA,0,NA,0,67279086-2012-07-03,1
10,10,66889018,2012,HA1,03/07/2012,F,Adult,0,NA,0,NA,0,66889018-2012-07-03,1
20,20,49811771,2012,HA1,03/07/2012,F,Adult,0,NA,0,NA,0,49811771-2012-07-03,0
20,60,66890033,2012,HA1,03/07/2012,F,Adult,0,NA,0,NA,0,66890033-2012-07-03,1
20,70,67070550,2012,HA1,03/07/2012,F,NotAdult,0,NA,0,NA,0,67070550-2012-07-03,1
20,70,49847790,2012,HA1,03/07/2012,F,Adult,0,NA,0,NA,1,49847790-2012-07-03,0
40,20,67279792,2012,HA1,03/07/2012,M,Adult,0,NA,0,NA,0,67279792-2012-07-03,1
60,30,67125021,2012,HA1,03/07/2012,M,Adult,0,NA,0,NA,0,67125021-2012-07-03,0
60,60,52842550,2012,HA1,03/07/2012,F,Adult,0,NA,0,NA,0,52842550-2012-07-03,0
70,0,66878865,2012,HA1,03/07/2012,M,Adult,0,NA,0,NA,0,66878865-2012-07-03,0
20,100,67076015,2012,HA1,04/07/2012,M,Adult,0,NA,1,36,1,67076015-2012-07-04,1
0,100,66859820,2012,HA1,04/07/2012,M,Adult,0,NA,1,4.444444444,1,66859820-2012-07-04,0
30,60,67095515,2012,HA1,04/07/2012,M,NotAdult,0,NA,0,NA,0,67095515-2012-07-04,1
70,30,66810776,2012,HA1,04/07/2012,M,Adult,0,NA,0,NA,0,66810776-2012-07-04,0
70,70,67288302,2012,HA1,04/07/2012,M,Adult,0,NA,0,NA,0,67288302-2012-07-04,1
100,80,66815612,2012,HA1,04/07/2012,F,Adult,NA,NA,0,NA,NA,66815612-2012-07-04,0
90,100,67297817,2012,HA1,05/07/2012,F,Adult,1,2.173913043,0,NA,0,67297817-2012-07-05,1
10,10,66889018,2012,HA1,17/07/2012,F,Adult,0,NA,0,NA,0,66889018-2012-07-17,1
60,90,52842550,2012,HA1,18/07/2012,F,Adult,0,NA,0,NA,1,52842550-2012-07-18,0
60,100,67076015,2012,HA1,18/07/2012,M,Adult,1,283.3333333,0,NA,0,67076015-2012-07-18,1
80,90,66815612,2012,HA1,18/07/2012,F,Adult,0,NA,0,NA,0,66815612-2012-07-18,0
90,50,67259597,2012,HA1,18/07/2012,F,Adult,0,NA,0,NA,0,67259597-2012-07-18,0
0,50,67074851,2012,HA1,17/07/2012,M,NotAdult,0,NA,0,NA,1,67074851-2012-07-17,1
10,100,66890033,2012,HA1,17/07/2012,F,Adult,0,NA,0,NA,0,66890033-2012-07-17,1
20,60,67070550,2012,HA1,17/07/2012,F,NotAdult,0,NA,1,15,0,67070550-2012-07-17,0
30,50,66809820,2012,HA1,17/07/2012,F,NotAdult,0,NA,0,NA,0,66809820-2012-07-17,0
40,20,49811771,2012,HA1,17/07/2012,F,Adult,0,NA,0,NA,0,49811771-2012-07-17,0
50,90,67094099,2012,HA1,17/07/2012,F,NotAdult,0,NA,1,11.11111111,0,67094099-2012-07-17,1
80,100,67125021,2012,HA1,17/07/2012,M,Adult,0,NA,0,NA,1,67125021-2012-07-17,1
100,70,66815612,2012,HA1,17/07/2012,F,Adult,0,NA,0,NA,0,66815612-2012-07-17,0
70,0,66810776,2012,HA1,17/07/2012,M,Adult,0,NA,1,606.25,0,66810776-2012-07-17,0
10,70,67074851,2012,HA1,14/08/2012,M,Adult,1,38.88888889,0,NA,1,67074851-2012-08-14,1
10,10,67091302,2012,HA1,14/08/2012,F,NotAdult,0,NA,0,NA,0,67091302-2012-08-14,0
10,0,67002542,2012,HA1,14/08/2012,M,Adult,1,167.6470588,0,NA,0,67002542-2012-08-14,1
30,50,49811771,2012,HA1,14/08/2012,F,Adult,0,NA,0,NA,1,49811771-2012-08-14,0
30,100,67070550,2012,HA1,14/08/2012,F,Adult,0,NA,0,NA,0,67070550-2012-08-14,1
50,100,52842550,2012,HA1,14/08/2012,F,Adult,0,NA,0,NA,1,52842550-2012-08-14,0
50,40,79618812,2012,HA1,14/08/2012,M,Adult,1,13782.85714,0,NA,0,79618812-2012-08-14,0
70,0,66878865,2012,HA1,14/08/2012,M,Adult,0,NA,0,NA,0,66878865-2012-08-14,0
80,30,67125021,2012,HA1,14/08/2012,M,Adult,0,NA,0,NA,1,67125021-2012-08-14,0
0,20,66889018,2012,HA1,31/07/2012,F,Adult,0,NA,0,NA,0,66889018-2012-07-31,1
0,80,67281060,2012,HA1,31/07/2012,F,Adult,0,NA,0,NA,0,67281060-2012-07-31,0
0,90,66859820,2012,HA1,31/07/2012,M,Adult,0,NA,0,NA,0,66859820-2012-07-31,0
10,30,49811771,2012,HA1,31/07/2012,F,Adult,0,NA,0,NA,0,49811771-2012-07-31,0
20,10,67002542,2012,HA1,31/07/2012,M,NotAdult,0,NA,0,NA,0,67002542-2012-07-31,1
30,10,67091302,2012,HA1,31/07/2012,F,NotAdult,0,NA,0,NA,0,67091302-2012-07-31,0
40,50,67070550,2012,HA1,31/07/2012,F,NotAdult,0,NA,0,NA,0,67070550-2012-07-31,1
60,100,66878865,2012,HA1,31/07/2012,M,Adult,0,NA,0,NA,0,66878865-2012-07-31,0
60,90,52842550,2012,HA1,31/07/2012,F,Adult,0,NA,0,NA,1,52842550-2012-07-31,0
60,50,67257539,2012,HA1,31/07/2012,F,NotAdult,1,426.0869565,0,NA,0,67257539-2012-07-31,1
60,30,66810776,2012,HA1,31/07/2012,M,Adult,0,NA,0,NA,0,66810776-2012-07-31,0
60,0,66809616,2012,HA1,31/07/2012,F,NotAdult,0,NA,0,NA,0,66809616-2012-07-31,1
80,40,67259597,2012,HA1,31/07/2012,F,Adult,NA,NA,0,NA,NA,67259597-2012-07-31,0
80,50,67094099,2012,HA1,31/07/2012,F,Adult,1,118.1818182,0,NA,0,67094099-2012-07-31,1
100,90,67088045,2012,HA1,31/07/2012,F,NotAdult,NA,NA,0,NA,NA,67088045-2012-07-31,0
